DD MMM YYYY;HH:MM:SS;temp;FLUO;Par;conductivité ;Oxygène;turbidité;Sal00;profondeur;densité
;;°C;µg/L;µeinstein/m²/s;mS/cm; ml/L;NTU;;m;Sigma-é00
30/01/2024;08:57:13;10,5182;0,4599;56,11;37,284647;6,0818;2,8467;33,691;1,25;25,8412
30/01/2024;08:57:15;10,5166;0,4659;49,733;37,285581;6,0772;2,9721;33,6933;1,5;25,8433
30/01/2024;08:57:17;10,5164;0,4727;46,705;37,285765;6,0788;2,9106;33,6936;1,75;25,8435
30/01/2024;08:57:20;10,5162;0,4819;41,49;37,284274;6,0749;2,8726;33,6922;2;25,8425
30/01/2024;08:57:21;10,5161;0,4811;38,302;37,284821;6,0824;2,92;33,6927;2,25;25,8429
30/01/2024;08:57:23;10,5169;0,4622;36,54;37,286528;6,0715;2,954;33,6935;2,5;25,8434
30/01/2024;08:57:26;10,5168;0,4273;32,406;37,284866;6,0736;2,9658;33,6919;2,75;25,8421
30/01/2024;08:57:27;10,5164;0,5078;29,228;37,284989;6,082;2,9644;33,6923;3;25,8425
30/01/2024;08:57:29;10,5164;0,5097;27,89;37,283736;6,0811;2,875;33,6909;3,25;25,8415
30/01/2024;08:57:31;10,5163;0,4931;25,83;37,282175;6,0857;2,9061;33,6893;3,5;25,8402
30/01/2024;08:57:33;10,5162;0,5099;22,417;37,281309;6,0848;3,0032;33,6884;3,75;25,8395
30/01/2024;08:57:35;10,5162;0,4755;21,288;37,281257;6,0894;2,9919;33,6882;4;25,8394
30/01/2024;08:57:36;10,5163;0,5714;19,885;37,282255;6,0867;2,9902;33,689;4,25;25,84
30/01/2024;08:57:39;10,5165;0,4947;17,59;37,28546;6,0838;2,9734;33,692;4,5;25,8423
30/01/2024;08:57:40;10,5164;0,4582;15,929;37,285513;6,0879;2,979;33,692;4,75;25,8424
30/01/2024;08:57:42;10,5164;0,5003;15,34;37,286666;6,0872;3,0146;33,6931;5;25,8432
30/01/2024;08:57:44;10,5161;0,4499;13,894;37,296659;6,0805;2,9115;33,7033;5,25;25,8512
30/01/2024;08:57:46;10,5157;0,5378;12,67;37,298327;6,0764;2,9287;33,7052;5,5;25,8528
30/01/2024;08:57:48;10,5157;0,4914;11,772;37,297815;6,0719;2,9182;33,7046;5,75;25,8523
30/01/2024;08:57:50;10,5156;0,519;10,627;37,300203;6,083;2,8694;33,7069;6;25,8541
30/01/2024;08:57:52;10,5158;0,5421;9,7005;37,299052;6,0812;2,8337;33,7055;6,25;25,853
30/01/2024;08:57:54;10,5158;0,5417;8,6345;37,299983;6,0826;2,8257;33,7063;6,5;25,8537
30/01/2024;08:57:55;10,5159;0,469;8,016;37,299587;6,0892;2,9122;33,7057;6,75;25,8532
30/01/2024;08:57:57;10,5159;0,5647;7,7208;37,306258;6,09;2,9611;33,7123;7;25,8583
30/01/2024;08:58:00;10,5157;0,5398;6,8589;37,313947;6,0784;2,947;33,7202;7,25;25,8644
30/01/2024;08:58:01;10,516;0,4442;6,3966;37,313101;6,0674;2,9503;33,7189;7,5;25,8635
30/01/2024;08:58:04;10,5158;0,5251;5,977;37,325788;6,0748;2,9235;33,7318;7,75;25,8735
30/01/2024;08:58:08;10,5172;0,4722;6,0071;37,328152;6,0658;2,9789;33,7328;8;25,874
